,BuildingType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,GFABuildingRate,GFAParkingRate,Distance_from_SeattleKM,Log_SiteEnergyUse,GFAPerBuilding,GFAPerFloor
2051,NonResidential,Greater Duwamish,1978.0,1.0,1.0,21755,Non-Refrige,17650.0,1.0,0.0,3.7755054007006787,14.004608788647852,21755.0,21755.0
2052,NonResidential,Greater Duwamish,1960.0,1.0,1.0,27933,Other,27933.0,1.0,0.0,3.8299471725632377,15.684309614626333,27933.0,27933.0
2053,NonResidential,Greater Duwamish,1983.0,1.0,1.0,23143,Non-Refrige,13983.0,1.0,0.0,4.052159300997809,13.889782338129303,23143.0,23143.0
2054,NonResidential,Greater Duwamish,1962.0,1.0,1.0,28800,Office,28800.0,1.0,0.0,3.9586747525816466,14.625180647220684,28800.0,28800.0
2055,NonResidential,Greater Duwamish,1952.0,1.0,1.0,39600,Manufacturi,17600.0,1.0,0.0,3.710428408731991,13.87514716244052,39600.0,39600.0
2056,NonResidential,Greater Duwamish,1952.0,1.0,1.0,39600,Non-Refrige,39600.0,1.0,0.0,3.8157292496306976,13.268747475262249,39600.0,39600.0
2057,NonResidential,Greater Duwamish,1937.0,1.0,1.0,41248,Distributio,41430.0,1.0,0.0,3.206398907490001,13.941002249881334,41248.0,41248.0
2058,NonResidential,Greater Duwamish,2009.0,1.0,1.0,36400,Other,21400.0,1.0,0.0,3.3872875247592837,14.448011499286629,36400.0,36400.0
2059,Multifamily LR (1-4),Delridge,1968.0,1.0,3.0,35448,Multifamily,30932.0,0.0,0.0,9.505137518877234,13.672323556765992,35448.0,11816.0
2060,NonResidential,Southwest,1920.0,1.0,1.0,31332,Other,31332.0,1.0,0.0,6.2578651697296745,15.097457848051144,31332.0,31332.0
2061,Multifamily LR (1-4),Southwest,1969.0,1.0,4.0,23596,Multifamily,19953.0,0.0,0.0,6.236788330801049,13.156054406921776,23596.0,5899.0
2062,NonResidential,Southwest,1948.0,1.0,2.0,35864,Worship Fac,35864.0,1.0,0.0,5.630928931037625,14.144511741353467,35864.0,17932.0
2063,Multifamily LR (1-4),Southwest,1996.0,1.0,4.0,42048,Multifamily,30799.0,0.7324724124809742,0.2675275875190259,5.6959399989471535,13.68710145256962,42048.0,10512.0
2064,Multifamily MR (5-9),Southeast,1967.0,1.0,6.0,71000,Multifamily,71000.0,0.0,0.0,10.852488198761698,14.11463448453379,71000.0,11833.333
2065,Multifamily LR (1-4),Greater Duwamish,1969.0,1.0,4.0,32922,Multifamily,32922.0,0.0,0.0,2.0508167172340674,13.56302082320979,32922.0,8230.5
2066,NonResidential,Greater Duwamish,1954.0,1.0,1.0,20484,Worship Fac,20484.0,1.0,0.0,5.862749719288528,13.778472346420752,20484.0,20484.0
2067,NonResidential,Northeast,1984.0,1.0,4.0,45264,Medical Off,21743.0,0.6106839872746553,0.38931601272534466,7.086745597161464,14.427342810463074,45264.0,11316.0
2068,NonResidential,Northeast,1987.0,2.0,4.0,36932,Medical Off,27642.0,0.6053287122278782,0.39467128777212174,7.0594222541087435,14.88080603775441,18466.0,9233.0
2069,Multifamily LR (1-4),North,1980.0,1.0,4.0,20808,Multifamily,20808.0,0.0,0.0,12.852816540486232,13.231572315874518,20808.0,5202.0
2070,NonResidential,Central,1973.0,1.0,4.0,45082,Other/Speci,45082.0,0.0,0.0,1.5181912675468374,15.211950837244531,45082.0,11270.5
2071,NonResidential,Northwest,1951.0,1.0,2.0,41600,Worship Fac,41600.0,1.0,0.0,8.763359938562123,14.265461819356252,41600.0,20800.0
2072,Multifamily MR (5-9),East,1981.0,1.0,7.0,61745,Multifamily,49378.0,0.0,0.0,2.279090375528271,13.992355269182479,61745.0,8820.714
